Casaba Melon                                        ,              ,Fruit         ,Fruit           ,0   ,1.9
Cashew                                              ,              ,Fruit         ,Fruit           ,0   ,3
Celery                                              ,              ,Fruit         ,Fruit           ,0   ,0.75
Cherry                                              ,              ,Fruit         ,Fruit           ,0   ,6.3
Cherry                                              ,dark sweet    ,Fruit         ,Fruit           ,0   ,0     ,6.4
Cherry                                              ,Montmorency   ,Fruit         ,Fruit           ,0   ,0     ,3.55
Chocolate                                           ,American      ,Grain         ,Roasted malt    ,350 ,29
Chocolate                                           ,Belgian       ,Grain         ,Roasted malt    ,340 ,30
Chocolate                                           ,United Kingdom,Grain         ,Roasted malt    ,425 ,34
Chocolate Malt                                      ,Finland       ,Grain         ,Roasted malt    ,338 ,31
Chocolate Rye                                       ,German        ,Grain         ,Roasted malt    ,240 ,31
Chocolate Wheat                                     ,German        ,Grain         ,Roasted malt    ,413 ,31
Coffee Malt                                         ,United Kingdom,Grain         ,Roasted malt    ,150 ,36
Cookie Malt                                         ,Finland       ,Grain         ,Roasted malt    ,19  ,37
Corn Sugar - Dextrose                               ,              ,Sugar         ,Sugar           ,1   ,42
Corn Syrup                                          ,              ,Sugar         ,Sugar           ,1   ,37
Crabapple                                           ,              ,Fruit         ,Fruit           ,0   ,3.85
Cranberry                                           ,              ,Fruit         ,Fruit           ,0   ,1.8
Crystal 10L Millet Malt - Gluten Free               ,American      ,Grain         ,Gluten-free malt,10  ,25
Crystal 140L                                        ,United Kingdom,Grain         ,Crystal malt    ,140 ,33
Crystal 15L                                         ,United Kingdom,Grain         ,Crystal malt    ,15  ,34
Crystal 30L                                         ,United Kingdom,Grain         ,Crystal malt    ,30  ,34
Crystal 30L Millet Malt - Gluten Free               ,American      ,Grain         ,Gluten-free malt,30  ,25
Crystal 45L                                         ,United Kingdom,Grain         ,Crystal malt    ,45  ,34
Crystal 50L                                         ,United Kingdom,Grain         ,Crystal malt    ,50  ,34
Crystal 55L                                         ,United Kingdom,Grain         ,Crystal malt    ,55  ,34
Crystal 60L                                         ,United Kingdom,Grain         ,Crystal malt    ,60  ,34
Crystal 70L                                         ,United Kingdom,Grain         ,Crystal malt    ,70  ,34
Crystal 90L                                         ,United Kingdom,Grain         ,Crystal malt    ,90  ,33
Crystal Malt 100                                    ,Finland       ,Grain         ,Crystal malt    ,38  ,35
Crystal Malt 150                                    ,Finland       ,Grain         ,Crystal malt    ,57  ,35
Crystal Malt 250                                    ,Finland       ,Grain         ,Crystal malt    ,94  ,35
Crystal Malt 300                                    ,Finland       ,Grain         ,Crystal malt    ,113 ,35
Crystal Malt 50                                     ,Finland       ,Grain         ,Crystal malt    ,19  ,35
Crystal Rye                                         ,United Kingdom,Grain         ,Crystal malt    ,90  ,33
Currant                                             ,black         ,Fruit         ,Fruit           ,0   ,0     ,4.2
Currant                                             ,red           ,Fruit         ,Fruit           ,0   ,0     ,2.7
Dark Ale                                            ,Finland       ,Grain         ,Roasted malt    ,14  ,35
Dark Chocolate                                      ,American      ,Grain         ,Roasted malt    ,420 ,29
Dark Chocolate Malt                                 ,New Zealand   ,Grain         ,Roasted malt    ,660 ,32.7
Dark Crystal 80L                                    ,United Kingdom,Grain         ,Crystal malt    ,80  ,33
Dark Crystal Malt                                   ,New Zealand   ,Grain         ,Crystal malt    ,96  ,35.4
Dark Munich                                         ,German        ,Grain         ,Base malt       ,10  ,36
Dark Roasted Millet Malt - Gluten Free              ,American      ,Grain         ,Gluten-free malt,300 ,25
Dark Wheat                                          ,German        ,Grain         ,Base malt       ,7   ,39
Date                                                ,              ,Fruit         ,Fruit           ,0   ,27
Date (dried)                                        ,              ,Fruit         ,Fruit           ,0   ,28.9
De-Bittered Black                                   ,Belgian       ,Grain         ,Roasted malt    ,566 ,34
De-Husked Caraf I                                   ,German        ,Grain         ,Roasted malt    ,340 ,32
De-Husked Caraf II                                  ,German        ,Grain         ,Roasted malt    ,418 ,32
De-Husked Caraf III                                 ,German        ,Grain         ,Roasted malt    ,470 ,32
Dewberry                                            ,              ,Fruit         ,Fruit           ,0   ,2.5
Dextrine Malt                                       ,United Kingdom,Grain         ,Crystal malt    ,2   ,33
Distillers Malt                                     ,Ireland       ,Grain         ,Base malt       ,2   ,37
Dry Malt Extract - Amber                            ,              ,Dry Extract   ,Extract         ,10  ,42
Dry Malt Extract - Dark                             ,              ,Dry Extract   ,Extract         ,30  ,44
Dry Malt Extract - Extra Light                      ,              ,Dry Extract   ,Extract         ,3   ,42
Dry Malt Extract - Light                            ,              ,Dry Extract   ,Extract         ,4   ,42
Dry Malt Extract - Munich                           ,              ,Dry Extract   ,Extract         ,8   ,42
Dry Malt Extract - Pilsen                           ,              ,Dry Extract   ,Extract         ,2   ,42
Dry Malt Extract - Wheat                            ,              ,Dry Extract   ,Extract         ,3   ,42
Elderberry                                          ,              ,Fruit         ,Fruit           ,0   ,2.75
Enzyme Malt                                         ,Finland       ,Grain         ,Base malt       ,0   ,35
ESB Malt                                            ,Canadian      ,Grain         ,Base malt       ,4   ,36
Extra Dark Crystal 120L                             ,United Kingdom,Grain         ,Crystal malt    ,120 ,33
Extra Dark Crystal 160L                             ,United Kingdom,Grain         ,Crystal malt    ,160 ,33
Extra Pale Malt                                     ,United Kingdom,Grain         ,Crystal malt    ,2   ,33
Fig                                                 ,              ,Fruit         ,Fruit           ,0   ,5.3
Figs (dried)                                        ,              ,Fruit         ,Fruit           ,0   ,29.95
Flaked Barley                                       ,              ,Adjunct       ,Raw             ,2   ,32
Flaked Corn                                         ,              ,Adjunct       ,Raw             ,1   ,40
Flaked Oats                                         ,              ,Adjunct       ,Raw             ,2   ,33
Flaked Rice                                         ,              ,Adjunct       ,Raw             ,1   ,40
Flaked Rye                                          ,              ,Adjunct       ,Raw             ,3   ,36
Flaked Wheat                                        ,              ,Adjunct       ,Raw             ,2   ,34
Floor-Malted Bohemian Pilsner                       ,German        ,Grain         ,Base malt       ,2   ,38
Floor-Malted Bohemian Pilsner Dk                    ,German        ,Grain         ,Base malt       ,7   ,38
Floor-Malted Bohemian Wheat                         ,German        ,Grain         ,Base malt       ,2   ,38
Gladiator Malt                                      ,New Zealand   ,Grain         ,Base malt       ,5   ,37.3
Golden Naked Oats                                   ,United Kingdom,Grain         ,Crystal malt    ,10  ,33
Golden Promise                                      ,United Kingdom,Grain         ,Base malt       ,3   ,37
Gooseberry                                          ,              ,Fruit         ,Fruit           ,0   ,4.95
Grape                                               ,              ,Fruit         ,Fruit           ,0   ,7.15
Grape - concord                                     ,              ,Fruit         ,Fruit           ,0   ,4
Grapefruit                                          ,              ,Fruit         ,Fruit           ,0   ,2.75
Grits                                               ,              ,Adjunct       ,Raw             ,1   ,37
Guanabana                                           ,              ,Fruit         ,Fruit           ,0   ,4
Guava                                               ,              ,Fruit         ,Fruit           ,0   ,2.8
Halcyon                                             ,United Kingdom,Grain         ,Base malt       ,2   ,36
Honey                                               ,              ,Sugar         ,Sugar           ,2   ,35
Honey (Buckwheat)                                   ,              ,Sugar         ,Sugar           ,2   ,35
Honey Malt                                          ,Canadian      ,Grain         ,Base malt       ,25  ,37
Honeydew Melon                                      ,              ,Fruit         ,Fruit           ,0   ,4.5
Invert Sugar Syrup                                  ,              ,Sugar         ,Sugar           ,1   ,36
Jackfruit                                           ,              ,Fruit         ,Fruit           ,0   ,8.3
Kiwi                                                ,              ,Fruit         ,Fruit           ,0   ,5.75
Kölsch                                              ,German        ,Grain         ,Base malt       ,4   ,37
Lactose (Milk Sugar)                                ,              ,Sugar         ,Sugar           ,1   ,41
Lager                                               ,United Kingdom,Grain         ,Base malt       ,1   ,38
Lager Light                                         ,New Zealand   ,Grain         ,Base malt       ,1   ,37
Lager Malt                                          ,Ireland       ,Grain         ,Base malt       ,2   ,37
Lemon juice                                         ,              ,Fruit         ,Fruit           ,0   ,1
Light Chocolate Malt                                ,New Zealand   ,Grain         ,Roasted malt    ,457 ,32.7
Light Crystal Malt                                  ,New Zealand   ,Grain         ,Crystal malt    ,32  ,35.4
Light Roasted Millet Malt - Gluten Free             ,American      ,Grain         ,Gluten-free malt,7   ,25
Lime                                                ,              ,Fruit         ,Fruit           ,0   ,0.45
Lime juice                                          ,              ,Fruit         ,Fruit           ,0   ,0.45
Liquid Malt Extract - Amber                         ,              ,Liquid Extract,Extract         ,10  ,35
Liquid Malt Extract - Dark                          ,              ,Liquid Extract,Extract         ,30  ,35
Liquid Malt Extract - Extra Light                   ,              ,Liquid Extract,Extract         ,3   ,37
Liquid Malt Extract - Light                         ,              ,Liquid Extract,Extract         ,4   ,35
Liquid Malt Extract - Munich                        ,              ,Liquid Extract,Extract         ,8   ,35
Liquid Malt Extract - Pilsen                        ,              ,Liquid Extract,Extract         ,2   ,35
Liquid Malt Extract - Wheat                         ,              ,Liquid Extract,Extract         ,3   ,35
Loganberry                                          ,              ,Fruit         ,Fruit           ,0   ,2.6
Lychee (Litchi)                                     ,              ,Fruit         ,Fruit           ,0   ,7.65
Malted Naked Oats                                   ,United Kingdom,Grain         ,Base malt       ,1   ,33
Malted Rye                                          ,New Zealand   ,Grain         ,Base malt       ,3   ,40.2
Maltodextrin                                        ,              ,Sugar         ,Sugar           ,0   ,39
Mango                                               ,              ,Fruit         ,Fruit           ,0   ,4.95
Manuka Smoked Malt                                  ,New Zealand   ,Grain         ,Base malt       ,2   ,36.8
Maple Sap                                           ,              ,Fruit         ,Fruit           ,0   ,0.9
Maple Syrup                                         ,              ,Sugar         ,Sugar           ,35  ,30
Maple Syrup                                         ,              ,Fruit         ,Fruit           ,0   ,29.8
Maris Otter Liquid Malt Extract (LME)               ,United Kingdom,Liquid Extract,Extract         ,5   ,36
Maris Otter Pale                                    ,United Kingdom,Grain         ,Base malt       ,4   ,38
Medium Crystal Malt                                 ,New Zealand   ,Grain         ,Crystal malt    ,56  ,35.4
Medium Roasted Millet Malt - Gluten Free            ,American      ,Grain         ,Gluten-free malt,36  ,25
Melanoid Malt                                       ,Finland       ,Grain         ,Roasted malt    ,27  ,35
Melanoidin                                          ,German        ,Grain         ,Roasted malt    ,25  ,37
Midnight Wheat Malt                                 ,American      ,Grain         ,Roasted malt    ,550 ,33
Mild                                                ,United Kingdom,Grain         ,Base malt       ,3   ,37
Molasses                                            ,              ,Sugar         ,Sugar           ,80  ,36
Mulberry                                            ,              ,Fruit         ,Fruit           ,0   ,6.1
Munich                                              ,Belgian       ,Grain         ,Base malt       ,6   ,38
Munich                                              ,United Kingdom,Grain         ,Base malt       ,6   ,37
Munich - 60L                                        ,American      ,Grain         ,Base malt       ,60  ,33
Munich - Dark 20L                                   ,American      ,Grain         ,Base malt       ,20  ,33
Munich - Light 10L                                  ,American      ,Grain         ,Base malt       ,10  ,33
Munich Dark                                         ,Canadian      ,Grain         ,Base malt       ,32  ,34
Munich Dark                                         ,German        ,Grain         ,Base malt       ,16  ,37
Munich Light                                        ,Canadian      ,Grain         ,Base malt       ,10  ,34
Munich Light                                        ,German        ,Grain         ,Base malt       ,6   ,37
Munich Malt                                         ,Finland       ,Grain         ,Base malt       ,7   ,36
Munich Malt                                         ,New Zealand   ,Grain         ,Base malt       ,8   ,36.8
Munich Millet Malt - Gluten Free                    ,American      ,Grain         ,Gluten-free malt,7   ,25
Nectarine                                           ,              ,Fruit         ,Fruit           ,0   ,3.4
Oat Malt                                            ,United Kingdom,Grain         ,Base malt       ,2   ,28
Optic                                               ,United Kingdom,Grain         ,Base malt       ,2   ,38
Orange                                              ,              ,Fruit         ,Fruit           ,0   ,4.1
Orange (Blood Orange)                               ,              ,Fruit         ,Fruit           ,0   ,4.05
Orange juice                                        ,              ,Fruit         ,Fruit           ,0   ,4.8
Organic Pilsner                                     ,New Zealand   ,Grain         ,Base malt       ,2   ,37.9
Organic Pilsner Malt                                ,Finland       ,Grain         ,Base malt       ,2   ,36
Pale 2-Row                                          ,American      ,Grain         ,Base malt       ,2   ,37
Pale 2-Row                                          ,Canadian      ,Grain         ,Base malt       ,2   ,36
Pale 2-Row                                          ,United Kingdom,Grain         ,Base malt       ,3   ,38
Pale 2-Row - Toasted                                ,American      ,Grain         ,Base malt       ,30  ,33
Pale 6-Row                                          ,American      ,Grain         ,Base malt       ,2   ,35
Pale Ale                                            ,American      ,Grain         ,Base malt       ,4   ,37
Pale Ale                                            ,Belgian       ,Grain         ,Base malt       ,3   ,38
Pale Ale                                            ,German        ,Grain         ,Base malt       ,2   ,39
Pale Ale Malt                                       ,Finland       ,Grain         ,Base malt       ,2   ,36
Pale Chocolate                                      ,United Kingdom,Grain         ,Roasted malt    ,207 ,33
Pale Millet Malt - Gluten Free                      ,American      ,Grain         ,Gluten-free malt,2   ,30
Pale Wheat                                          ,Canadian      ,Grain         ,Base malt       ,2   ,36
Pale Wheat                                          ,German        ,Grain         ,Base malt       ,2   ,39
Papaya                                              ,              ,Fruit         ,Fruit           ,0   ,2.9
Passionfruit                                        ,              ,Fruit         ,Fruit           ,0   ,5
Peach                                               ,              ,Fruit         ,Fruit           ,0   ,4.05
Pear                                                ,              ,Fruit         ,Fruit           ,0   ,4.5
Pearl                                               ,United Kingdom,Grain         ,Base malt       ,2   ,37
Peated Malt                                         ,United Kingdom,Grain         ,Base malt       ,3   ,38
Persimmon                                           ,              ,Fruit         ,Fruit           ,0   ,6.3
Pilsen                                              ,United Kingdom,Grain         ,Base malt       ,2   ,36
Pilsner                                             ,American      ,Grain         ,Base malt       ,2   ,37
Pilsner                                             ,Belgian       ,Grain         ,Base malt       ,2   ,37
Pilsner                                             ,German        ,Grain         ,Base malt       ,2   ,38
Pilsner Malt                                        ,Finland       ,Grain         ,Base malt       ,2   ,37
Pilsner Malt                                        ,New Zealand   ,Grain         ,Base malt       ,2   ,37.3
Pineapple                                           ,              ,Fruit         ,Fruit           ,0   ,5.85
Plum                                                ,              ,Fruit         ,Fruit           ,0   ,4.95
Pomegranate                                         ,              ,Fruit         ,Fruit           ,0   ,5.2
Prickly Pear                                        ,              ,Fruit         ,Fruit           ,0   ,4.95
Prunes (dried)                                      ,              ,Fruit         ,Fruit           ,0   ,19.8
Pumpkin (canned)                                    ,              ,Fruit         ,Fruit           ,0   ,1
Pumpkin (fresh)                                     ,              ,Fruit         ,Fruit           ,0   ,1
Quince                                              ,              ,Fruit         ,Fruit           ,0   ,0.45
Raisins (dried)                                     ,              ,Fruit         ,Fruit           ,0   ,29.25
Raspberry                                           ,              ,Fruit         ,Fruit           ,0   ,3.15
Raspberry - black                                   ,              ,Fruit         ,Fruit           ,0   ,2.8
Raspberry - red                                     ,              ,Fruit         ,Fruit           ,0   ,2.3
Red Back Malt                                       ,New Zealand   ,Grain         ,Roasted malt    ,33  ,35.4
Red Wheat                                           ,American      ,Grain         ,Base malt       ,3   ,38
Red X                                               ,German        ,Grain         ,Base malt       ,12  ,36
Rhubarb                                             ,              ,Fruit         ,Fruit           ,0   ,0.4
Rice Hulls                                          ,              ,Adjunct       ,Other           ,0   ,0
Rice Syrup Solids                                   ,              ,Dry Extract   ,Raw             ,1   ,37
Roast Barley                                        ,New Zealand   ,Grain         ,Roasted malt    ,736 ,32.7
Roasted Barley                                      ,American      ,Grain         ,Roasted malt    ,300 ,33
Roasted Barley                                      ,Belgian       ,Grain         ,Roasted malt    ,575 ,30
Roasted Barley                                      ,United Kingdom,Grain         ,Roasted malt    ,550 ,29
Roasted Wheat                                       ,New Zealand   ,Grain         ,Roasted malt    ,279 ,33.6
Rolled Barley                                       ,New Zealand   ,Adjunct       ,Raw             ,2   ,35.4
Rolled Oats                                         ,              ,Adjunct       ,Raw             ,2   ,33
Rolled Oats                                         ,New Zealand   ,Adjunct       ,Raw             ,1   ,12.4
Rye                                                 ,American      ,Grain         ,Base malt       ,4   ,38
Rye                                                 ,German        ,Grain         ,Base malt       ,4   ,38
Shepherds Delight Malt                              ,New Zealand   ,Grain         ,Roasted malt    ,152 ,36.5
Smoked Malt                                         ,American      ,Grain         ,Base malt       ,5   ,37
Smoked Malt                                         ,German        ,Grain         ,Base malt       ,3   ,37
Soft Candi Sugar - Blond                            ,              ,Sugar         ,Sugar           ,5   ,38
Soft Candi Sugar - Brown                            ,              ,Sugar         ,Sugar           ,60  ,38
Sour Grapes Malt                                    ,New Zealand   ,Grain         ,Base malt       ,2   ,34
Special B                                           ,Belgian       ,Grain         ,Roasted malt    ,115 ,34
Special Roast                                       ,American      ,Grain         ,Roasted malt    ,50  ,33
Spelt Malt                                          ,German        ,Grain         ,Base malt       ,2   ,37
Stout Malt                                          ,Ireland       ,Grain         ,Base malt       ,2   ,37
Strawberry                                          ,              ,Fruit         ,Fruit           ,0   ,3.15
Sultanas                                            ,              ,Fruit         ,Fruit           ,0   ,8.55
Supernova Malt                                      ,New Zealand   ,Grain         ,Roasted malt    ,58  ,37.4
Tangelo                                             ,              ,Fruit         ,Fruit           ,0   ,3.35
Tangerine                                           ,              ,Fruit         ,Fruit           ,0   ,2.95
Toffee Malt                                         ,New Zealand   ,Grain         ,Roasted malt    ,5   ,38.8
Tomato                                              ,              ,Fruit         ,Fruit           ,0   ,1.25
Torrified Barley                                    ,              ,Adjunct       ,Raw             ,2   ,36
Torrified Wheat                                     ,              ,Adjunct       ,Raw             ,2   ,36
Turbinado                                           ,              ,Sugar         ,Sugar           ,10  ,44
Unmalted Wheat                                      ,Belgian       ,Grain         ,Raw             ,2   ,36
Victory                                             ,American      ,Grain         ,Roasted malt    ,28  ,34
Vienna                                              ,American      ,Grain         ,Base malt       ,4   ,35
Vienna                                              ,German        ,Grain         ,Base malt       ,4   ,37
Vienna Malt                                         ,Finland       ,Grain         ,Base malt       ,3   ,36
Vienna Malt                                         ,New Zealand   ,Grain         ,Base malt       ,3   ,39.1
Watermelon                                          ,              ,Fruit         ,Fruit           ,0   ,4.05
Wheat                                               ,American      ,Grain         ,Base malt       ,2   ,38
Wheat                                               ,Belgian       ,Grain         ,Base malt       ,2   ,38
Wheat                                               ,United Kingdom,Grain         ,Base malt       ,2   ,37
Wheat Malt                                          ,German        ,Grain         ,Base malt       ,2   ,37
Wheat Malt                                          ,Finland       ,Grain         ,Base malt       ,2   ,38
Wheat Malt                                          ,New Zealand   ,Grain         ,Base malt       ,2   ,35.4
White Sorghum Syrup - Gluten Free                   ,              ,Sugar         ,Sugar           ,2   ,37
White Wheat                                         ,American      ,Grain         ,Base malt       ,3   ,40
Youngberry                                          ,              ,Fruit         ,Fruit           ,0   ,2.5
1886 Malt House - NY 2-Row Base Malt                ,American      ,Grain         ,Base malt       ,3   ,35.64
1886 Malt House - NY 2-Row Pale Malt                ,American      ,Grain         ,Base malt       ,2   ,35.64
1886 Malt House - Caramel 40                        ,American      ,Grain         ,Crystal malt    ,40  ,34
1886 Malt House - Caromatic 180                     ,American      ,Grain         ,Roasted malt    ,180 ,0
1886 Malt House - NY 6-Row Base Malt                ,American      ,Grain         ,Base malt       ,2   ,34.78
1886 Malt House - NY Aromatic 20                    ,American      ,Grain         ,Roasted malt    ,20  ,34.86
1886 Malt House - NY Caramel 20                     ,American      ,Grain         ,Crystal malt    ,20  ,37.7
1886 Malt House - NY Munich Malt                    ,American      ,Grain         ,Base malt       ,5   ,34.8
1886 Malt House - NY Pale Malt                      ,American      ,Grain         ,Base malt       ,4   ,35.64
1886 Malt House - NY Pilsner Malt                   ,American      ,Grain         ,Base malt       ,2   ,37
1886 Malt House - NY Red Winter Wheat               ,American      ,Grain         ,Base malt       ,2   ,35.499
1886 Malt House - NY Synergy Base Malt              ,American      ,Grain         ,Base malt       ,3   ,36.11
Admiral - Admirals Hearth                           ,American      ,Grain         ,Base malt       ,20  ,37
Admiral - Feldblume                                 ,American      ,Grain         ,Base malt       ,3   ,37
Admiral - Gallaghers Best                           ,American      ,Grain         ,Base malt       ,3   ,38
Admiral - Kilnsmith                                 ,American      ,Grain         ,Crystal malt    ,70  ,37
Admiral - Maiden Voyage                             ,American      ,Fruit         ,Base malt       ,3   ,37
Admiral - Midway                                    ,American      ,Grain         ,Base malt       ,10  ,37
Admiral - Organic Pilsner Malt                      ,American      ,Grain         ,Base malt       ,2   ,37
Admiral - Pacific Victor                            ,American      ,Grain         ,Base malt       ,6   ,37
Admiral - Pils (Pilsner)                            ,American      ,Grain         ,Base malt       ,2   ,38
Admiral - Yolo Gold Wheat                           ,American      ,Grain         ,Base malt       ,3   ,39
Avangard - Crystal 10L                              ,German        ,Adjunct       ,Crystal malt    ,8   ,38.2
Avangard - Dark Caramel Malt                        ,German        ,Grain         ,Crystal malt    ,28  ,34
Avangard - Light Munich                             ,German        ,Grain         ,Base malt       ,8   ,37
Avangard - Munich Dark                              ,German        ,Grain         ,Base malt       ,12  ,37.1
Avangard - Pale 2 Row                               ,German        ,Grain         ,Base malt       ,2   ,37
Avangard - Pale Ale Malt                            ,German        ,Grain         ,Base malt       ,2   ,39
Avangard - Pilsner                                  ,German        ,Grain         ,Base malt       ,2   ,37.3
Avangard - Vienna                                   ,German        ,Grain         ,Base malt       ,4   ,37.7
Avangard - Wheat                                    ,German        ,Grain         ,Base malt       ,2   ,38.2
Bairds - Chocolate Malt                             ,United Kingdom,Grain         ,Roasted malt    ,500 ,31
Bairds - Crystal Malt 150                           ,United Kingdom,Grain         ,Crystal malt    ,57  ,34
Bairds - Dextrin Malt                               ,United Kingdom,Grain         ,Base malt       ,2   ,32.2
Bairds - Maris Otter Pale Ale                       ,United Kingdom,Grain         ,Base malt       ,3   ,37.5
Bairds - Munich Malt                                ,United Kingdom,Grain         ,Base malt       ,5   ,36.8
